NAMA,AIR (g),ENERGI (Kal),PROTEIN (g),LEMAK (g),KARBO (g),SERAT (g),ABU (g),KALSIUM (mg),FOSFOR (mg),BESI (mg),NATRIUM (mg),KALIUM (mg),TEMBAGA (mg),SENG (mg),RETINOL (mcg),BKAR (mcg),KARTOTAL (mcg),THIAMIN (mg),RIBOFLAVIN (mg),NIASIN (mg),VITC (mg),BDD (%)
Beras giling mentah,12,357,8.4,1.7,77.1,0.2,0.8,147,81,1.8,27,71,0.1,0.5,0,0,0,0.2,0.08,2.6,0,100
Beras giling var pelita mentah,11.4,369,9.5,1.4,77.1,0.4,0.6,68,171,1.4,34,0,0,0,0,0,0,0.26,0,0,0,100
Beras giling var rojolele mentah,12,357,8.4,1.7,77.1,0.2,0.8,147,81,1.8,34,112.9,0.14,0.1,,0,80,0.2,0.02,1.5,0,100
Beras hitam mentah,12.9,351,8,1.3,76.9,20.1,0.9,6,198,0.1,15,105,0.1,1.6,0,0,0,0.21,0.06,0,0,100
Beras jagung kuning kering mentah,10.8,358,5.5,0.1,82.7,10,0.9,20,90,1.4,1,80,0.1,4.1,,641,,0.12,0.08,1,3,100
Beras jagung putih kering mentah,22.5,307,4.8,0.1,71.8,10,0.8,17,78,1.2,1,70,0.1,3.5,,301,,0.15,0.07,0.9,0,100
Beras ketan hitam tumbuk mentah,13.7,360,8,2.3,74.5,1,1.5,10,347,6.2,11,288,0.28,2.2,0,0,0,0.24,0.1,2,0,100
Beras ketan putih tumbuk mentah,12.9,361,7.4,0.8,78.4,0.4,0.5,13,157,3.4,3,282,0.28,2.2,0,0,0,0.28,0,1.4,0,100
Beras ladang mentah,9.8,376,7.5,3.8,78,5.9,0.9,20,110,0.8,10,70,0.1,1.4,0,0,,0.2,0.2,5.1,0,100
Beras menir mentah,12,362,7.7,4.4,73,0.2,0.2,22,272,3.7,90,201,0.1,0.5,0,0,,0.55,0,1.9,0,100
Beras parboiled,10,353,6.8,0.6,80,0.5,2.5,5,142,0.8,2,46,0.28,1,0,0,,0.22,0.11,3.4,0,100
Beras tumbuk mentah,11.5,354,7.8,0.4,79.9,3.8,0.4,3,112,0.6,5,85,0.5,1.5,0,0,,0.25,0.22,5.1,0,100
Beras tumbuk merah mentah,14.6,352,7.3,0.9,76.2,0.8,1,15,257,4.2,10,202,0.36,1.9,0,0,0,0.34,0,3.3,0,100
Cantel mentah,11,366,11,3.3,73,1.2,1.7,28,287,4.4,7,249,,,0,0,,0.09,0.14,2.8,0,100
Jagung muda kuning mentah,61.8,147,5.1,0.7,31.5,1.3,0.9,6,122,1.1,5,33.6,0.13,0.9,0,113,261,0.24,0.1,0.8,9,100
Jagung kuning pipil kering mentah,11.5,366,9.8,7.3,69.1,2.2,2.4,30,538,2.3,5,79.4,0.1,4.1,,636,641,0.12,0.12,1.8,3,100
Jagung pipil var harapan kering,11.3,367,6.2,5.1,76.2,2.6,1.2,7,354,2.8,1,79.6,0.1,4.1,,637,385,0.19,0.08,1,0,100
Jagung pipil var metro kering,10.6,368,5.5,4.6,78,2.9,1.3,7,300,2.4,1,80.2,0.1,4.1,,642,554,0.16,0.08,1,0,100
Jali mentah,23,324,11,4,61,3.1,1,213,176,"11. 
0",24,,0.1,0.4,,,,0.14,0.08,1.8,0,90
Jawawut mentah,11.9,364,9.7,3.5,73.4,8.2,1.5,28,311,5.3,7,255.1,0.45,1.5,,33,,0.33,0.28,4.5,,100
Jampang huma mentah,11.7,350,6.2,1.4,78.2,1.7,2.5,329,254,5.3,53,396.7,0.7,1.6,,33,,0.51,0.3,0.7,0,100
Nasi,56.7,180,3,0.3,39.8,0.2,0.2,25,27,0.4,1,38,0.1,0.6,0,0,,0.05,0.1,2.6,0,100
Nasi tim,71,120,2.4,0.4,26,0.5,0.2,3,7,0.4,0,23.9,0.1,0.4,,0,,0.1,0,1.4,0,100
Beras tapai,75.5,99,1.7,0.3,22.4,0,0.1,4,19,0,26,2,0.1,0.5,0,0,0,0,0,0,0,100
Beras tepung mentah,12,353,7,0.5,80,2.4,0.5,5,140,0.8,5,241,0.1,0.8,0,0,0,0.12,0.1,1.2,0,100
Beras merah Nasi,64,149,2.8,0.4,32.5,0.3,0.3,6,63,0.8,5,91.4,0.2,0.9,0,0,0,0.06,0,1.6,0,100
Bihun mentah,12.9,348,4.7,0.1,82.1,1.2,0.2,6,35,1.8,12,5,0.08,0.7,0,0,0,0,0,0.2,0,100
Bihun goreng instan,9,381,6.1,3.9,80.3,0,0.7,266,151,2.9,928,,,,58,,400,0.37,,,0,100
Bihun Jagung mentah,11.3,354,0.5,0.3,87.4,3,0.5,13,111,0.6,49,1.4,0.4,0,,0,0,0.02,0.02,0.3,0,100
Jagung nasi mentah,11,357,8.8,0.5,79.5,6.2,0.3,5,43,0.6,2,30.4,0.1,0.3,,0,0,0.3,0.02,0.1,0,100
Jagung muda rebus,53.2,142,5,0.7,30.3,0.8,0.8,5,105,0.8,5,24.3,0.2,0.9,,145,225,0.15,0,0.7,0,100
Jagung kuning tepung,12,355,9.2,3.9,73.7,7.2,1.2,10,256,2.4,11,24.4,0.23,1.7,,0,510,0.38,0.02,0.3,,100
Jagung kuning pipil rebus,63.7,154,3.8,3.5,28.4,0.7,0.6,7,171,0.5,5,56.4,0.1,4.4,,818,234,0.08,0.1,1.7,0,100
Jagung tepung putih,12,355,9.2,3.9,73.7,7.2,1.2,10,256,2.4,11,24.4,0.23,1.7,,0,0,0.38,0.02,0.3,,100
Ketan ketupat,52,212,4,4.6,38.6,0.2,0.9,8,46,1,,,,,0,0,0,0.07,,0.2,0,100
Ketan hitam matang,56.9,181,4,1.2,37.3,0.3,0.6,9,144,1.7,9,18.4,0.1,0.7,0,0,0,0.06,0,0.5,0,100
Ketan hitam tapai,50.2,166,3.8,1,34.4,0.3,0.6,8,106,1.6,5,12,,,,,0,0.02,,,0,100
Ketan putih matang,60.7,163,3,0.4,35.7,0.2,0.2,4,55,0.7,8,16.8,0.1,0.7,0,0,0,0.07,0,0.5,0,100
Ketan putih tapai,58.9,172,3,0.5,37.5,0.6,0.1,6,35,0.5,1,,,,0,0,0,0.04,0,0.2,0,100
Maizena tepung,14,341,0.3,0,85,7,0.7,20,30,1.5,6,9,0.22,1.6,0,0,0,0,0.09,1.3,0,100
Makaroni mentah,11.7,353,8.7,0.4,78.7,4.9,2.5,20,80,0.3,5,0,0.28,1.4,,,0,0.1,0.13,2.2,0,100
Mi basah,80,88,0.6,3.3,14,0.1,2.1,14,13,6.8,63,13.5,0.06,0.4,,0,,0,0,0,0,100
Mi kering,10.6,339,10,1.7,6.3,0.4,1.4,31,143,3.9,760,83,0.29,1.9,,,0,0,0.08,2.2,0,100
Misoa,10,345,8.5,2.2,78,0.5,1.3,52,120,8.7,3064,44,0.08,0,0,0,0,0,0.02,0.2,0,100
Roti putih,40,248,8,1.2,50,9.1,0.8,10,95,1.5,530,91,0.15,0.9,0,0,0,0.1,0.29,2.4,0,100
Tepung terigu,11.8,333,9,1,77.2,0.3,1,22,150,1.3,2,0,0,2.8,0,0,0,0.1,0.07,1,0,100
Amparan tatak,58.4,191,1.3,5.5,34,0,0.8,,,,,,,,,,,,,,,100
Apang kukus kue,49.5,202,3,0.3,46.7,0,0.5,,,,,,,,,,,,,,,100
Apem kue,63.1,148,2,0.5,33.9,0,0.5,,,,,,,,,,,,,,,100
Biskuit,2.2,458,6.9,14.4,75.1,2.1,1.4,62,87,2.7,241,20.3,0.16,0.6,0,14,,0.09,0.15,1.4,0,100
Bakpia kue,38.9,272,8.7,6.7,44.1,0.9,1.6,194,117,4.5,,,,,,,1392,0.31,1,2.9,0,100
Bakwan,40.5,280,8.2,10.2,39,3.4,2.1,204,79,7,,,,,0,,0,0.08,,,0,100
Bantal,52.3,190,3.3,0.3,43.5,3.4,0.6,9,0,0.4,164,84,0.2,0.9,,,,0.27,0.02,3.6,,100
Baruasa,5.3,417,6.5,8.2,79.3,0,0.7,,,,,,,,,,,,,,,100
Batar daan,75.3,107,2.2,2.2,19.6,0,0.7,20,30,0.6,"200. 
0",90,0.1,,,,,0.18,0.02,,,100
Bika ambon,51.5,199,2.1,1.5,44.4,0.3,0.6,45,28,1.8,,,,,0,,408,0.1,,0,0,100
Bingka,44.4,273,5.3,10.6,39.1,0,0.6,,,,,,,,,,,,,,,100
Bobengka,46.3,225,5.3,2.6,45.2,0,0.6,,,,,,,,,,,,,,,100
Bolu peca,55.6,197,3.3,4.6,35.6,0,0.9,,0,0,0,0,,,,,,,0,0,0,100
Brem,37.4,249,3.4,0.4,58,0,0.9,198,86,2,,,,,0,,240,0.34,0,0,0,100
Bubur tinotuan (Manado),80.9,156,2.3,0.2,15.6,8.2,1,41,20,0.4,486,164,0.3,0.4,,1437,,0.1,0.04,,15,100
Cake tape,32.2,323,4.9,11.5,50.1,1.4,1.4,131,83,2.6,,,,,26,,1872,0.38,0.16,0.3,0,100
Cangkuning,57.5,204,2.8,7.5,31.4,0,0.8,,,,,,,,,,,,,,,100
Dodol bali,26.5,298,3.7,2.1,65.9,0.4,1.8,70,76,2.5,,,,,0,0,496,0.28,,2.5,0,100
Dodol galamai,16.5,348,0.4,3.8,76.1,0.5,1.2,41,144,2.6,38,76,0.3,2.1,0,0,0,0.03,0.06,1.8,0,100
Dodol kedondong,26.4,331,1.9,7.6,63.8,1,0.4,90,55,2.3,,,,,0,,408,0.11,,0.8,5,100
Dodol manado,26.1,373,4.3,16.5,51.9,0.4,1.2,41,142,2.4,35,72,0.3,2.1,0,0,0,0.04,0.06,2.1,0,100
Emping beras,13.6,403,10.6,2.2,85.3,0.2,1.9,11,240,0.3,1,113,0.3,2.4,,,0,0,0.16,,0,100
Gemblong,36.2,274,1.7,5.4,55.5,2.2,1.2,69,55,3.3,,,,,0,0,0,0,,,0,100
Gendar goreng,30.4,407,6.4,28.2,32,0.1,3,216,62,1.6,,,,,0,,184,0.16,0,0.6,0,100
Intip goreng,6.5,474,7.6,21.6,62.3,1.2,2,36,64,2.5,0,38,0.05,0.5,,0,200,0.25,0.03,0.8,0,100
Jagung gerontol,61.7,156,2.7,1.3,33.3,1,0.8,51,105,1.2,,,,,0,,162,0.08,0,0,0,100
Jagung titi,9.2,374,9.4,2.2,79.1,0.8,0.1,14,142,2.9,,,9,,,,11507,0.2,,,,100
Japilus,3.8,500,1.2,25.1,67.3,0.4,2.7,186,29,4.9,,,,,0,,0,0.17,0.03,0.4,0,100
Kakicak,43.9,296,3.4,15.1,36.7,0,0.9,,,,,,,,,,,,,,,100
Kambose,61.5,164,3,2.4,32.6,4.3,0.7,16,36,0.7,0,32,0.1,1.6,0,256,,0.1,0.1,0.4,,100
Kapusa,63.5,158,4.4,3.2,27.8,5.3,1,79,115,1.2,104,149,0.5,1.1,0,1374,,0.06,0.05,0.1,0,100
Keddo bodong,33.9,290,4.6,5.7,55.2,0,0.6,,,,,,,,,,,,,,,100
Kelepon kue,49.6,215,3.7,3.7,41.8,1,1.2,232,45,3.3,,,,,0,,872,0.09,0.07,0.2,0,100
Kereput,3.5,580,4.8,39.6,51.1,0,1,,,,,,,,,,,,,,,100
Ketoprak,69.1,153,7.9,7.7,13,2.9,2.6,153,134,3.4,,,,,3,,435,0.05,,,0,100
Ketupat kandangan,78.5,109,2.2,5.2,13.4,0,0.7,,,,,,,,,,,,,,,100
Koya,13.2,366,4.2,4.3,77.5,0.8,0.8,153,222,7,,,,,0,,,,,,0,100
Koya mirasa,7.2,370,8,1,82.2,0.4,1.6,83,110,"17. 
0",,,,,3,,144,0.19,0.45,2.6,0,100
Koyabu,44.2,241,3.4,4.3,47.2,0,0.9,,,,,,,,,,,,,,,100
Kue ali,12.8,440,3.8,18.5,64.5,0.3,0.4,27,47,2.5,,,,,0,,0,0.13,0.09,0,0,100
Kue bangen,5.6,442,3.3,14.7,74.2,0,2.2,,,,,,,,,,,,,,,100
Kue gelang,7.1,448,5.8,16.1,70,0,1,,,,,,,,,,,,,,,100
Kue jahe,3.7,425,1.6,8.8,84.6,1.2,1.3,155,61,4,,,,,,,0,0.2,,,0,100
Kue kelapa,3.3,591,5.6,42.1,47.5,0,1.5,32,180,1.6,33,443,0.5,1.1,,,,,,,,100
Kue koa,14.5,340,4.8,0.4,79.3,0,1,,,,,,,,,,,,,,,100
Kue ku temu,46.2,214,3.5,0.2,49.6,0,0.5,,,,,,,,,,,,,,,100
Kue lumpur,40.1,291,3.6,11.1,44.1,0,1.1,96,60,2.3,,,,,20,,400,0.24,,,,100
Kue pelita,71,141,5.3,5.5,17.6,0,0.6,,,,,,,,,,,,,,,100
Kue putu cangkir,32.6,304,5.3,7,54.9,0.9,0.2,18,193,4,,,,,0,,0,0.06,,,0,100
Kue sus,56.6,221,7.5,10.2,24.8,0,0.9,105,85,2.5,,,,,26,,1300,0.12,,,0,100
Kue thipan,43,247,2.9,4.2,49.5,0,0.4,16,107,1.8,95,56,1.3,0.8,,,,0.17,,,,100
Laksa/Putu mayang,73.2,121,1.7,3.4,21.1,0,0.6,,,,,,,,,,,,,,,100
Lapis legit,21.3,389,6.6,15.7,55.5,0.5,0.9,16,136,1.9,,,,,41,,1032,0.26,0.09,3,0,100
Lupis ketan,61,164,1.8,2.1,34.5,0.7,0.6,119,31,1.5,,,,,0,,0,0.09,0,0.2,0,100
Manan samin,27.1,379,3.4,18.1,50.6,0,0.8,,,,,,,,,,,,,,,100
Martabak india,65.8,153,4.5,4.2,24.3,0,1.2,14,108,2.4,240,112,0.4,0.5,,,,,,,,100
Martabak mesir,40.2,278,5.1,8.6,45,0,1.1,49,168,3.4,193,123,0.2,0.9,,,,,,,,100
Masekat,15.6,369,2.1,7,74.1,4,0.8,17,52,0.8,141,12,0.4,0.3,155,,,,,,,100
Mie aceh rebus,74.6,113,3,3.2,18.1,0,1.1,22,44,1.4,191,36,0.2,0.3,0,0,,0,0,0,0,100
Mie ayam,78.6,102,6.2,3.9,10.5,0,0.8,262,51,1.8,279,,,,39,,166,0.85,,0,0,100
Mie bakso,74.5,114,5.3,3,16.4,0.1,0.8,286,53,1.9,760,,,,17,,180,0.16,,,0,100
Mie celon,75.9,102,3,2.1,17.8,0,1.2,12,84,1.4,451,112,0.1,0.5,0,0,,0,0,0,0,100
Mie pangsit basah,79.2,105,5.9,4.9,9.4,0,0.7,208,48,2,530,,,,25,,620,0.46,,,0,100
Nasi gemuk,61.4,192,3.8,8.8,24.4,0.7,1.6,15,74,1,355,63,0.2,1.4,0,0,,0.19,0.05,2,0,100
Nasi gurih,60.5,190,4.7,7.5,26,0.7,1.3,12,62,0.8,296,52,0.2,1.2,0,0,,0.11,0.06,2.1,0,100
Nasi minyak,53.3,207,3.5,5,37.1,0.8,1.1,26,100,1.5,74,174,0.2,2.2,0,0,,0.14,0.07,2.6,0,100
Nasi rames,65.8,155,10.3,4.2,19.1,0,0.6,239,62,1.8,265,,,,96,,3140,0.59,0,,,100
Nopia spesial,11.5,387,5.3,7.6,74.3,0.3,1.3,903,133,4.2,,,,,,,512,0.17,,,0,100
Ondeonde,27.7,336,4,9.8,57.9,0,0.6,,,,,,,,,,,,,,,100
Padamaran,67.6,171,3.9,8.9,18.8,0,0.8,,,,,,,,,,,,,,,100
Pastel,38.3,307,4.5,13.3,42.4,0,1.5,296,53,2.5,,,,,0,,5360,0.15,,,0,100
Pulut,49.1,216,2.6,3.1,44.4,0,0.8,6,70,3.8,100,22,0.4,1.3,0,0,,0.14,,,,100
Pundut nasi,77.8,104,1.9,4.1,15.1,0.4,1.1,26,100,1.5,74,174,0,0,,,,,,,,100
Putri hijau,54.8,189,5.4,2.1,37.2,0,0.5,,,,,,,,,,,,,,,100
Putri selat,66.6,163,2.2,6.5,23.8,0,0.9,72,3,4,6,68,,,0,0,,,,,,100
Putu sopa,50.7,215,3.3,4.1,41.1,0,0.8,,,,,,,,,,,,,,,100
Renggi goreng,8.8,471,4.7,21.8,64.1,6.4,0.6,4,80,1.1,126,29,0.9,1.3,0,0,0,0.53,0.05,8.2,0,100
Roti boong,34,341,5.5,16.2,43.3,0,1,15,65,1.1,161,41,,0.9,,,,0.4,0.3,2.4,0,100
Roti warna sawo matang,40,249,7.9,1.5,49.7,0,0.9,20,140,2.5,500,91,,,0,0,0,0.15,,,0,100
Sarimuka,61.5,166,2.3,2.8,32.9,0,0.5,36,13,2,3,34,0,0,,,,,,,,100
Spaghetti,66.1,139,7.4,2.1,22.6,0,2.1,109,53,4.7,,,,,42,,940,0.35,,,0,100
Srikaya ketan,41,265,2.7,6.4,49.1,0,0.8,,,,,,,,,,,,,,,100
Sunduk lawang,63.4,181,1.9,1.3,32.4,0,1,,,,,,,,,,,,,,,100
Suwirsuwir,13.4,347,0.5,0.9,84.2,0.8,1,42,40,4.3,,,,,1,,240,0.13,,0.9,0,100
Tipatipa,11.3,355,6.2,1.2,79.8,1.3,1.5,17,328,1.6,,,,,0,0,0,0.26,0.04,1.5,0,100
Wajit camilan,27.1,303,6.3,2.7,63.3,6.9,0.6,61,302,5.5,,,,,0,,0,0.03,,,0,100
Widaran,7,424,1.3,10.7,80.7,0.2,0.3,49,88,2.5,,,,,21,,440,0.13,0.2,2.2,0,100
Wingko babat,29.7,355,3.2,15.1,51.4,2.4,0.7,47,63,1.1,,,,,0,,0,0.08,0.08,0,0,100
Yangko,37.4,254,3,1.1,58.1,0.8,0.4,184,24,2.6,,,,,0,,96,0.15,,0,0,100
Arrowroot ,73.5,102,1,0.2,24.1,1.7,1.2,28,35,1.7,36,626.6,0.2,0.8,0,15,0,0.06,0.1,2.3,2,100
Batatas gembili ,76.7,76,1.1,0.9,16,4.2,0.7,0,40,0.2,10,200,0.2,0.3,0,0,0,0.06,0,0.9,0,85
Batatas kelapa ubi ,76.1,89,1.1,0.1,21,4,0.7,0,40,0.2,20,340,0.1,0.2,0,0,0,0.38,0,0.9,0,85
Belitung talas ,63.1,145,1.2,0.4,34.2,1.5,1.1,26,54,1.4,6,536.1,0.2,0.9,0,0,0,0.1,0.1,2.3,2,85
Bengkuang ,85.1,59,1.4,0.2,12.8,1,0.5,15,18,0.6,2,244.3,0.1,0.3,,0,,0.04,0.1,0.2,20,84
Bentul (Komba) talas ,75.8,98,1.6,0.7,20.9,0.7,1.8,44,66,1.5,,195.5,0.2,0.6,0,0,0,0.02,0.1,0.8,0,86
Gadeng/Gadung kering,20.2,322,2.4,0.6,76.6,0,0.2,39,22,2.2,5,2,0.5,0.2,0,0,0,0.45,0.02,1,0,100
Gadung ubi ,74.4,100,0.9,0.3,23.5,2.1,0.9,79,66,0.9,8,687.2,0.2,0.2,0,0,0,0.23,0,0.5,2,85
Ganyong ,79.9,77,0.6,0.2,18.4,0.8,0.9,15,67,1,,,,,0,0,0,0.1,,,9,65
Gembili ubi ,66.4,131,1.1,0.2,31.3,1.1,1,14,56,0.6,10,200,0.2,0.3,0,0,0,0.08,0,0.9,4,85
Hofa/Ubi hutan ,67.9,127,1.2,0.5,29.5,3.4,0.9,30,8,0.7,3,4,0.1,0.2,0,0,0,0.3,0.05,0.6,0,85
Kaburan ubi ,66.5,133,1,0.2,32.2,0.7,0.5,65,50,0.6,10,899.2,0.2,0.2,0,0,0,0.01,0,0.3,0,81
Kentang ,83.4,62,2.1,0.2,13.5,0.5,0.8,63,58,0.7,7,396,0.4,0.3,0,0,0,0.09,0.1,1,21,85
Kentang hitam ,64,142,0.9,0.4,33.7,5.4,1,34,75,0.2,22,890.3,0.9,0.6,,0,,0.02,0.1,2.2,38,75
Keribang ubi ,67,137,1.3,1.1,29.8,0.6,0.8,45,56,0.8,10,885.8,0.2,0.3,0,0,0,0,0,0.7,0,83
Ketela pohon/ singkong ,61.4,154,1,0.3,36.8,0.9,0.5,77,24,1.1,2,394,0.3,0.4,0,0,0,0.06,0.1,0.5,31,85
Lepok/Ubi rumput,55.3,181,2.8,1.2,39.8,10.7,0.9,7,50,3.1,116,306,1.6,0.9,0,0,0,0.28,0.05,1.5,0,85
Sagu aren kering,11.9,355,0.6,1.1,85.6,0.3,0.8,91,167,2.2,2,200,0,0.3,,,0,0.04,0.1,0.5,0,100
Sagu aren ,42.5,231,0.6,0.2,56.6,3.2,0.1,20,20,0.1,7,0,0.1,0.1,0,,0,0.2,0,0,0,100
Sagu kasbi ,42.5,230,0.6,0.2,56.5,3,0.2,20,1,0.3,100,410,0.1,0.2,0,0,0,0.1,0,0,0,100
Sagu lempeng,13.5,347,0.9,0.3,85.2,4.7,0.1,30,30,0.2,11,0,0.1,0.1,0,0,,0.3,0,0,0,100
Sagu singkong kering,12,362,0.5,0.3,86.9,0,0.3,0,0,0,,,,,,0,0,0,,,0,100
Sente talas ,14,353,0.7,0.2,84.7,6.6,0.4,11,13,1.5,30,694.6,0.6,2.2,,41,,0.05,0.2,2.8,5,86
Suweg talas ,80.1,74,1.4,0.1,17.2,1.4,1.2,42,46,1.3,7,400,0.1,0.1,0,24,254,0.04,0,0.4,2,86
Talas bogor ,72.4,108,1.4,0.4,25,0.9,0.8,47,67,0.7,10,448,0.2,0.7,0,0,0,0.06,0.07,1,4,85
Talas pontianak ,60,163,2.3,0.5,36.4,0.7,0.9,45,80,1.7,14,323.1,0.3,1,0,0,0,0.02,0.1,1.3,,83
Talas viqueque ,70.6,115,1.8,0.5,25.9,8.6,1.2,50,220,0.9,1,70,0.3,1,0,0,0,0.08,0.1,0.9,,85
Ubi jalar kuning ,72.6,119,0.5,0.4,25.1,4.2,1,30,40,0.4,3,1,0.1,0.2,0,794,4948,0.06,0.07,0.7,21,85
Ubi jalar manis ,78.4,83,1.5,0.2,18.8,0.6,1.1,27,162,2.1,52,320.7,0.1,0.3,0,0,0,0.02,0,0.4,0,85
Ubi jalar merah ,61.9,151,1.6,0.3,35.4,0.7,0.6,29,74,0.7,92,565.6,0.3,0.5,0,0,1208,0.13,0.08,0.7,11,86
Ubi jalar putih ,77.8,88,0.4,0.4,20.6,4,0.8,30,10,0.5,2,4,0.1,0.2,0,13,264,0.25,0.06,0.5,36,86
Ubi jalar tinta/kemayung,72.5,108,0.5,0.4,25.6,4.2,1,30,40,0.5,1,1,0.1,0.2,0,13,0,0.09,0.06,0.6,24,85
Umbi Uwi ,69.7,120,2.8,0.5,82.3,2.6,0.9,9,42,1.3,12,412,0.3,0.6,,0,0,0.02,0.5,0.2,4,86
Batatas kelapa ubi bakar,73.2,110,1.4,1.1,23.4,4.5,0.7,1,46,0.2,12,230,0.2,0.3,0,0,0,1.13,0,0,0,85
Batatas kelapa ubi kukus,75.7,92,1.2,0.3,21,4.1,1.8,0,42,0.2,10,209,0.2,0.3,0,0,0,0.28,0,0.7,0,100
Batatas tali ubi rebus,53.2,182,2.4,0.4,42.2,9.2,1.8,1,80,0.3,20,402,0.3,0.6,0,0,0,0.27,0,1.3,0,100
Belitung talas kukus,63.1,145,1.2,0.4,34.2,1,1.1,21,48,0.9,7,552.6,0.2,0.9,0,0,0,0.08,0.1,2.3,1,100
Bentul talas kukus,81.1,71,2.3,0.3,15.4,0.5,0.9,29,26,0.6,,201,0.2,0.6,0,0,0,0.06,0,0,21,100
Gadung ubi kukus,77.4,88,0.6,0.3,20.9,0.9,0.8,26,47,0.4,6,584,0.2,0.2,0,0,0,0.03,0,0.4,0,100
Ganyong rebus,74.1,100,0.8,0.2,23.8,0.9,1.1,15,65,0.9,,,,,0,0,0,0.04,,,6,100
Ketela pohon/singkong kukus,61.5,153,1.2,0.3,36.4,1.3,0.6,56,22,0.4,2,345.3,0.3,0.1,0,0,0,0,0,0.3,20,100
Suweg talas kukus,75.5,93,1.5,0.1,21.9,0.9,1,50,58,0.8,6,350.3,0.1,0.1,0,0,283,0.09,0,0.3,0,100
Talas bogor kukus,69.2,120,1.5,0.3,28.2,0.7,0.8,31,63,0.7,11,498,0.2,0.6,0,0,0,0.05,0.6,0.8,2,100
Ubi jalar kuning kukus,74.2,100,0.7,0.3,23.8,1,1,44,46,0.4,3,0.8,0.1,0.2,0,819,4427,0,0.1,0.6,16,100
Ubi jalar tinta/kemayung kukus,58.5,165,0.9,0.2,39.8,1.1,0.6,20,23,0.8,1,0.9,0.1,0.2,0,0,0,0.02,0.1,0.5,0,100
Bagea kelapa asin,3.5,450,3.2,13.9,78.1,0,1.3,38,38,0.3,74,0,0.2,0.2,0,0,0,0.3,0,0,0,100
Bagea kelapa manis,3,452,1.3,13.8,80.6,0,1.3,38,39,0.3,75,0,0.2,0.2,0,0,0.3,0,0,0,0,100
Bagea kenari asin,2.8,529,3.2,29.1,63.6,0,1.3,38,40,0.4,74,0,0.2,0.2,0,0,0,0.3,0,0,0,100
Bagea kenari manis,3.1,523,3.2,28.2,64.2,0,1.3,38,39,0.3,74,0,0.2,0.2,0,0,0,0.3,0,0,0,100
Bagea kw 1,7.2,416,6.5,9.4,76.3,0.4,0.6,49,77,4.9,,,,,13,,312,0.08,,2.6,0,100
Bagea kw 2,7.9,382,0.3,3.5,87.2,0.9,1.1,172,120,7.6,,,,,0,0,0,0.02,,,0,100
Beras Cerdas,11.3,350,2.7,1.1,82.3,6.2,2.6,28,351,2.9,358,568,0.2,0.9,,0,0,0.02,0.2,0.3,0,100
Beras ganyong,9.3,364,3.4,0.7,86.3,4.7,0.5,4,47,5,4,72.2,0.2,0.6,,1,0.1,0.02,0.02,0.3,0,100
Beras Siger,13.5,344,1.1,0.2,28.3,5.6,0.7,32,22,5.6,106,77.9,0.1,0.5,,0,0,0.02,0.1,0.2,0,100
Biji nangka/Biji salak,40.5,262,2.3,5.4,51.1,8,0.7,60,80,0.8,10,2,0.6,2,0,1667,,0.1,1,,10,100
Bubur sagu,62.5,167,0.2,4,33,0,0.3,3,3,0.1,7,0,0.1,0.1,0,0,0,9,,0.1,0,100
Cassavastick,5.6,460,0.8,18.7,17.2,1.6,2.7,144,58,7.5,,,,,0,,107,0.19,0.07,0.1,0,100
Ceriping getuk singkong,7.2,462,1.2,20.7,67.7,0.6,3.2,1248,172,8.8,,,,,0,,152,0.29,0.02,0.5,0,100
Gatot,12.8,347,1.3,0.7,83.8,5.8,1.4,78,44,17.1,28,242,0.2,0.7,,0,0,0.02,0.1,0.4,0,100
Geblek,52.1,195,0.4,1.7,44.4,3.6,1.4,35,13,0.6,353,125,0.3,0.3,,0,0.3,0.02,0,0.1,0,100
Getuk goreng,16.5,360,1.3,6.4,74.3,0.8,1.5,59,81,3.2,,,,,0,0,0,0.21,,0.1,0,100
Getuk singkong,49.8,204,0.5,1.4,47.4,0.8,1.1,97,52,1.5,,,,,0,,208,0.08,,0.1,0,100
Gurandil,47.5,218,0.5,2.5,48.5,3.1,1,50,25,2.8,,,,,,,0,0.19,,,0,100
Kabuto,58.9,250,2.6,2.5,35.4,1.8,0.6,35,49,1.1,2,218,,,,0,0,0.1,0.1,0.6,,100
Kapurung,79.6,41,2,0.3,7.8,2,0.6,34,12,0.3,185,566,0.1,0.3,0,213,,0.12,0.25,2.7,15,100
Kecimpring singkong goreng,3.7,464,1.2,18.6,73,1.3,3.5,82,52,3.4,,,,,,,3320,0.34,,,0,100
Keremes,6.7,475,1.6,25.2,64.4,2.1,2.1,153,88,1,,,,,0,,1000,0,,,0,100
Keripik gadung,4,446,2.8,14.5,76,1.7,2.8,147,52,1.9,,,,,0,0,0,0.95,,,0,100
Keripik kentang,7.8,448,2.7,18.8,67.1,3.8,3.6,25,130,1.2,712,406,1.1,,,15,,0.1,0.05,2.8,0,100
Keripik singkong,4.2,478,0.9,20.7,72,2,2.2,189,101,1.9,,,,,0,0,0,0.24,,,0,100
Keripik singkong berbumbu,2.2,481,2.2,19.7,73.6,1.6,2.3,156,103,1.6,,,,,0,,80,0.31,,,0,100
Keripik ubi,6,486,0.2,23.9,67.6,14.3,2.3,68,92,0.9,52,2,0.7,2.3,0,920,,0.1,0.1,0.5,0,100
