Name,Water(g),Energy(g),Protein(g),Fat(g),Carbohydrate(mg),Fiber(mg),Ash(mg),Calcium(CA)(mg),Phospor(P)(mg),Iron(Fe)(mg),Sodium(Na)(mg),Pottasium(Ka)(mg),Copper(Cu)(mg),Zinc(Zn)(mg),Retinol(vit.A)(mcg),?-carotene(mcg),Carotene(Total)(mcg),Thiamin(vit.B1)(mcg),Riboflavin(vit.B2)(mg),Niacin(mg),Vitamin_C(mg),Eaten%,Raw_Processed,Group
"Bambara groundnut (Bogor beans), dried",10,370,16,6,65,26.3,3,85,264,4.2,44,868.8,1.48,2.7,-,-,-,0.18,0.26,-,-,100,Single,Beans
"Bambara groundnut (Bogor beans), fresh",60.8,165,7.7,3.1,27.4,2.5,1,96,126,5.3,6,537,0.41,1.2,-,29,-,0.32,0.35,2.7,-,100,Single,Beans
"Endel beans, seeds, dried",14,331,25,1,58,23.6,2,80,400,5,12,"1,322.40",0.68,2.7,-,-,-,0.3,0.75,2.3,-,95,Single,Beans
"Peas, fresh",67.6,129,12.4,0.7,18.3,28.6,1,40,130,2.3,4,310,0.3,2.1,-,212,-,0.29,0.05,2.7,-,45,Single,Beans
"Thorn beans, fresh",12,336,23.1,1.7,59.5,-,3.8,80,400,5,-,-,-,-,-,-,-,0.6,-,-,-,95,Single,Beans
"Pigeon pea (Gude beans), seeds, dried",16.1,316,20.7,1,58,4.6,4.2,146,445,4.7,16,"1,306.20",0.99,2.7,-,19,-,0.3,0.19,2.4,-,100,Single,Beans
"Pigeon pea (Gude beans), seeds, fresh",70.3,114,7,0.6,20.8,4.4,2.3,3,122,1.5,4,480.5,0.12,0.9,-,-,70,0.37,0.07,0.8,43,100,Single,Beans
"Bakti mung bean, dried",7.4,350,17.1,1.8,70.7,5.7,3.1,94,315,4.9,46,893.9,1.52,3.1,-,171,235,0.4,0.27,2.6,11,100,Single,Beans
"Siwatik mung bean, dried",8.8,339,20.8,2.1,64.6,7.4,3.7,122,136,4.9,45,880.4,1.5,3.1,-,168,321,0.45,0.27,2.6,-,100,Single,Beans
"Mung beans, dried",15.5,323,22.9,1.5,56.8,7.5,3.3,223,319,7.5,42,815.7,1.9,2.9,-,156,223,0.46,0.15,1.5,10,100,Single,Beans
"Black turtle beans, dried",12.5,346,16.6,1.7,66.1,22.8,3.1,70,300,4.7,3,-,0.9,3.5,-,28,-,0.16,0.1,2.1,-,100,Single,Beans
"Pea, fresh",74.3,98,6.7,0.4,17.7,6.2,0.9,22,122,1.9,6,296.6,0.21,1.5,-,-,680,0.34,0.16,2.5,26,45,Single,Beans
"Soy beans, dried",12.7,381,40.4,16.7,24.9,3.2,5.5,222,682,10,210,713.4,1.58,3.9,-,237,31,0.52,0.12,1.2,-,100,Single,Beans
"Soy beans, fresh",20,286,30.2,15.6,30.1,-,4.1,196,506,6.9,28,870.9,1.24,3.6,-,-,95,0.93,0.26,1.8,-,100,Single,Beans
"Kincai beans, dried",4.2,444,19.9,16,55,-,4.9,26,-,-,-,-,-,-,-,-,-,0.1,0.1,1.9,-,-,Single,Beans
"Hyacinth bean, seeds, fresh",20.9,327,16.4,4.3,55.8,0.5,2.6,74,282,4,22,"1,137.00",0.9,2.1,-,-,-,0.99,0.12,0.1,-,45,Single,Beans
"Yellow beans, dried",11.7,355,17,2.5,66,15.1,2.8,140,220,5.8,1,-,0.7,3.2,-,58,-,0.47,0.08,1.9,-,-,Single,Beans
"Lebui / sliced beans, dried",11.8,346,16.5,1.5,66.6,37.3,3.6,144,368,3.4,17,"1,225.00",1.5,3.3,-,64,-,0.62,0.2,-,-,100,Single,Beans
"Buttered beans, dried",13.7,344,16.7,2.1,64.6,13,2.9,110,300,6.7,1,10,0.7,2.5,-,0.1,-,0.21,0.07,1.2,-,-,Single,Beans
"Banda kidney bean, dried",13,350,13.9,3,66.9,26.3,3.2,84,242,6.8,19,"1,127.00",-,42,-,137,-,0.15,0.76,0.3,-,100,Single,Beans
"Dark red kidney bean, dried",12.3,280,16.7,1.6,63.2,4.6,6.2,209,335,6.4,-,"1,348.50",0.69,2.8,-,-,-,0.1,0.08,2,6,100,Single,Beans
"Kidney bean, dried",17.7,314,22.1,1.1,56.2,4,2.9,502,429,10.3,11,"1,265.50",0.65,2.6,-,-,-,0.4,0.72,2.2,-,100,Single,Beans
"Kidney bean, fresh",57.2,171,11,2.2,28,2.1,1.7,293,134,3.7,7,360.7,0.34,1.4,-,-,10,0.15,0.15,1.1,-,100,Single,Beans
"Cashew nuts, fresh",4.6,616,16.3,48.4,28.7,0.9,2,26,521,3.8,26,692,4.7,4.1,-,5,-,0.64,0.03,-,-,69,Single,Beans
"Yardlong bean, seeded, dried",12.2,357,17.3,1.5,68.6,10.6,0.4,163,437,6.9,16,"1,109.40",0.35,2.8,-,"2,182",-,0.57,0.98,7.1,2,100,Single,Beans
"Groundnut (Peanuts), baked",1.2,560,29.5,43,24.1,2.9,2.2,107,366,4.1,34,509.8,1.69,2.1,-,-,-,0.31,0.3,15.5,-,100,Single,Beans
"Groundnut (Peanuts), baked without husk",2.6,559,26.9,44.2,23.6,2.6,2.7,74,393,1.9,33,202.3,520.4,1.7,-,-,-,0.3,29.47,8,-,100,Single,Beans
"Groundnut (Peanuts), dried",9.6,525,27.9,42.7,17.4,2.4,2.4,316,456,5.7,31,466.5,1.55,1.9,-,-,30,0.44,0.27,1.4,-,100,Single,Beans
"Cowpea, dried",13.5,331,24.4,1.9,56.6,1.6,3.6,481,399,13.9,15,7.8,1.03,5.9,-,65,-,0.06,0.2,4.3,-,100,Single,Beans
"Tunis beans, dried",10.5,351,12.2,1.2,72.9,29.5,3.2,120,220,6.9,1,-,1.4,2.9,-,-,-,0.57,0.13,2.5,-,100,Single,Beans
"Uci beans, dried",9.9,358,23.4,2.4,60.6,7.4,3.7,269,264,0.5,13,"1,457.70",0.35,-,-,20,-,0.1,0.2,2.5,2,100,Single,Beans
"Rice bean, dried",12.8,354,12.8,1.8,69.3,26.1,3.3,220,220,5.1,1,-,0.7,3.1,-,-,-,0.55,0.05,3.5,-,-,Single,Beans
"Walnut, banda, dried",13,616,13.9,56.2,13.7,-,3.2,-,380,1.4,11,460,1.1,3.2,-,90,-,0.83,0.08,0.5,-,100,Single,Beans
"Walnut, dried",3,657,15,66,13,-,3,92,691,7.7,3,505.8,0.97,3,-,-,-,0.42,0.09,0.5,-,100,Single,Beans
"Hyacinth bean, peas, fresh",74.3,99,3.3,0.1,21.2,10.3,1.1,50,99,13.1,15,567,0.2,0.6,-,5,-,0.13,0.03,0.2,-,100,Single,Beans
"Jack bean (Koro Andong), dried",10.8,356,20.5,4.1,61.6,7,3,150,272,6.2,18,301.8,0.73,2.8,-,-,-,0.29,0.02,1.4,1,100,Single,Beans
"Hyacinth bean, seaded, dried",15,332,24,3,55,5.6,3,30,200,2,42,389.2,1.25,8.7,-,-,70,0.3,0.12,1.7,-,95,Single,Beans
"Hyacinth bean, seeded, fresh",67.2,125,8.3,0.7,22.1,2.2,1.7,17,12,2.7,16,150.3,0.48,3.4,-,-,80,0.11,0.04,1.1,31,68,Single,Beans
"Koro loke, seeds, fresh",88.6,33,2.7,0.2,7.9,3.5,0.6,60,40,2,2,38.6,0.09,0.4,-,-,40,0.1,-,0.2,-,95,Single,Beans
"Koro roay (Lima bean), dried",13,344,12.5,2.1,69.4,7.5,3,70,103,4.4,18,294.3,0.72,2.7,-,-,28,0.11,0.21,1.4,1,100,Single,Beans
"Hyacinth bean, seeds, dried",11.8,338,22.2,1.5,61,5.8,3.5,88,395,3.5,43,403.8,1.3,9.1,-,-,-,0.62,0.12,1.8,-,100,Single,Beans
"Laucaena (Lamtoro seeds), inmature, fresh",77.4,85,5.7,0.3,15.4,10.8,1.2,180,53,2.7,35,485.7,0.02,1.4,-,-,423,0.08,1.15,1,15,100,Single,Beans
"Laucaena (Lamtoro seeds), mature, fresh",61.4,148,10.6,0.5,26.2,17,1.3,155,59,2.2,28,628.6,0.03,2.4,-,-,416,0.23,0.49,2.8,20,100,Single,Beans
Gung Laucaena (Lamtoro seeds) without skin,10.2,367,46.4,5.4,32.5,2.6,4.4,136,441,23.3,65,"1,462.30",0.07,5.6,-,-,"18,900",0.06,1.15,1,9,100,Single,Beans
Local Laucaena (Lamtoro seeds) without skin,13.5,336,23.8,1.2,59.7,15.4,1.8,867,321,1.5,134,"1,858.90",0.07,5.4,-,-,321,0.15,1.34,0.9,16,100,Single,Beans
"Jackfruit, seeds, fresh",57.7,165,4.2,0.1,36.7,1.8,1.3,33,200,1,69,179,0.12,0.2,-,-,-,0.2,0.03,1.4,10,75,Single,Beans
"Red sandalwood, peeled",8.1,449,30.6,25.5,31.9,3.5,3.9,"1,062",161,14.2,66,"1,496.50",0.07,5.7,-,9,107,0.09,1.5,10.9,7,100,Single,Beans
"Sesame seed, raw",5.8,568,19.3,51.1,18.1,3.6,5.8,"1,125",614,9.5,18,303.7,4.16,7.9,-,15,-,0.93,0.2,5.7,-,100,Single,Beans
"Spinach, steamed",90.7,30,1.3,0.7,5.8,1.2,1.6,239,35,5.7,15,431,0.1,0.3,-,"2,699","3,750",0.02,0.1,0.9,32,100,Processed,Vegetables
"Spinach, stew",93.5,23,1.2,0.6,3.7,1.1,1,150,35,0.5,16,308.4,0.2,0.3,-,"3,282","2,864",0.02,0.1,0.9,19,100,Processed,Vegetables
"Beans, boil",90.6,30,2.2,0.2,6.4,1.5,0.6,107,47,0.5,7,138.9,0.1,0.3,-,1,402,0.01,0.29,2,8,100,Processed,Vegetables
"Long bean leaves, steamed",87.2,40,3.7,0.3,8,1.8,0.8,111,66,3.7,6,419.5,0.2,0.3,-,"2,645","5,781",0.15,0.2,0.9,11,100,Processed,Vegetables
"Katuk leaves, boil",83.3,53,5.3,0.9,9.1,1.2,1.4,185,102,3.1,16,291.3,0.3,1.3,-,"11,131","9,000",-,0.3,2.2,66,100,Processed,Vegetables
"Moringa leaves, boil",80.3,61,6.1,0.9,10,0.9,2.6,255,36,2.1,45,181.2,0.1,0.6,-,"3,972","6,071",0.1,0.1,4,13,100,Processed,Vegetables
"Noni leaf, steamed",81.6,63,3.8,1.5,11.5,2.4,1.6,300,43,6,-,-,-,-,-,2,"4,900",0.08,0.1,5.2,11,100,Processed,Vegetables
"Cassava leaves, boil",90.5,31,3.7,0.6,4.8,1.6,0.4,160,50,2.6,13,14,0.1,2,-,"3,897","4,150",0.02,0.1,1.7,34,100,Processed,Vegetables
"Taro leaves, boil",91.6,27,1.3,0.2,5.9,1.6,1,119,41,1.4,3,519.4,0.5,0.5,-,"4,641","2,682",-,0.6,1.9,7,100,Processed,Vegetables
"Red sweet potato leaves, steamed",82.5,56,3.1,0.3,13,1.5,1.1,78,52,4.3,28,472.8,0.1,0.4,-,"5,277","5,397",-,0.2,1.1,14,100,Processed,Vegetables
"Long beans, steamed",88.2,39,3,0.6,7.6,1.7,0.6,100,91,1.2,28,199,0.11,0.5,-,131,205,0.02,0.1,0.3,20,100,Processed,Vegetables
"Long beans, boiled",90.9,30,2.3,0.4,5.8,1.4,0.6,71,68,0.8,24,114.5,0.1,0.4,-,128,162,-,0.07,0.2,15,100,Processed,Vegetables
"Swamp Cabbage, steamed",90.4,30,3.2,0.7,4.7,1.8,1,70,49,4.4,45,184.9,0.1,0.4,-,"2,370","5,837",0.03,0.28,1.4,11,100,Processed,Vegetables
"Swamp Cabbage, stew",93,22,2.5,0.6,3.1,1.2,0.8,50,51,3.5,31,98,0.1,0.3,-,"2,370","4,325",0.01,0.22,1.2,13,100,Processed,Vegetables
"White paria, steamed",95,16,0.8,0.2,3.4,1.2,0.6,16,33,0.5,4,236,-,0.7,-,187,65,0.15,0.04,0.3,35,100,Processed,Vegetables
"Lettuce, stew",93.5,19,2.7,0.2,2.9,0.7,0.7,83,74,1.4,24,160.7,0.05,0.3,-,"2,499","3,700",0.08,0.2,0.6,27,100,Processed,Vegetables
"Bean sprouts, fried",79.2,88,3.2,2.1,14,0.7,1.5,168,50,5.7,-,-,-,-,2,-,613,0.05,-,-,-,100,Processed,Vegetables
"Sprouts, brewed",91.9,28,3,0.8,4,1,0.3,52,73,0.5,18,58.3,0.19,0.4,-,46,18,0.1,-,0.9,2,87,Processed,Vegetables
"Long eggplant, steamed",92.7,23,1.8,0.1,4.9,0.4,0.5,40,13,0.5,9,57,67.1,0.2,-,99,20,-,0.07,0.7,1,100,Processed,Vegetables
"Carrots, boil",92.1,28,0.7,0.5,6.3,0.8,0.4,46,28,0.6,41,117.3,0.1,0.2,-,"3,824","5,396",0.01,0.03,0.7,12,100,Processed,Vegetables
"Carrots, steamed",89.5,37,1,0.6,8.3,1.1,0.6,44,30,0.6,43,122.5,0.11,0.3,-,"3,994","7,150",0.02,0.03,0.8,14,100,Processed,Vegetables
"Bogor pickles, vegetables",78,98,3.9,2.6,14.8,0.5,0.7,314,17,1.2,483,-,-,-,10,-,146,0.28,-,-,5,100,Processed,Vegetables
"Anyang, vegetables",76.9,126,3.4,7.9,10.3,5.4,1.5,180,1,2.9,290,181,0.3,1.2,-,"3,263",-,0.2,-,-,-,100,Processed,Vegetables
"Ares, vegetables",77.7,113,0.9,7.2,11.2,4.7,3,63,5,1.5,"1,413","1,030.00",0.7,3.8,-,6,-,0.1,-,0.5,-,100,Processed,Vegetables
Arwan sirsir,59,277,2.4,25,10.7,4.6,2.9,120,40,2.4,240,320,0.2,0.9,-,"1,578",-,0.1,0.2,-,11,100,Processed,Vegetables
Beberuk,89.1,65,1.1,5.2,3.5,3.1,1.1,179,72,8.3,53,427,0.4,0.2,-,44,-,0.3,-,4.4,-,100,Processed,Vegetables
Lamtoro botok,63.9,186,11.7,9.7,13,2.1,2.2,771,322,26,-,-,-,-,18,-,179,0.27,-,-,2,100,Processed,Vegetables
Taro leaf nodules,74.5,141,4.4,10.2,8,1.8,3,149,121,14.5,-,-,-,-,13,-,"8,610",0.25,-,-,1,100,Processed,Vegetables
Cammetutu,79.6,102,3.2,6,8.7,4.3,2.5,41,93,0.5,443,518,0.3,0.7,-,"1,123",-,0.3,0.4,0.4,19,100,Processed,Vegetables
"Cap cai, vegetables",82.7,97,5.8,6.3,4.2,0.6,1,287,89,1.8,405,-,-,-,45,-,"1,640",0.21,-,-,1,100,Processed,Vegetables
Mixed vegetables with the peanut sauce,68.5,137,6.1,3.2,21,1.1,1.5,301,135,7.5,-,-,-,-,3,-,"5,929",0.1,-,-,1,100,Processed,Vegetables
"Warm, vegetable",69.2,160,3.3,9.2,16,2.3,2.1,62,55,12.8,-,-,-,-,-,-,166,0.15,-,-,-,100,Processed,Vegetables
Coconut curry,76.1,143,4,11.4,6,1.4,2.6,548,124,1.7,-,-,-,-,11,-,"9,802",0.35,-,-,1,100,Processed,Vegetables
Pliek curry,71.9,176,7.3,14.9,3.2,-,2.7,39,54,1.4,257,285,0.3,0.6,-,-,-,-,-,-,-,100,Processed,Vegetables
Kadada katembe,80,110,4.5,6.9,7.1,3.9,1.5,26,77,-,178,131,0.2,0.7,-,46,-,0.1,-,3.7,23,100,Processed,Vegetables
"Kaparende, vegetable",91.7,38,2.4,2,2.6,1.5,1.3,126,68,-,170,43,-,0.3,-,40,-,0.1,-,3.7,22,100,Processed,Vegetables
"Karedok, vegetables",79,92,2.2,3.3,14.1,1.4,1.4,174,85,2.4,-,-,-,-,-,-,1,0.08,-,-,3,100,Processed,Vegetables
Spinach chips,2.3,586,4.9,40.6,50.2,0.5,1.9,236,117,3.6,-,-,-,-,-,-,"4,544",0.16,-,-,-,100,Processed,Vegetables
Kotiu hinela tawang nggole,88.4,46,2.2,1.5,6,3.8,1.9,64,44,-,316,103,1.6,0.8,-,75,-,0.3,-,9.7,7,100,Processed,Vegetables
Sour Lema / Bamboo Shoots,96.3,15,1,0.4,1.9,-,0.4,17,230,2.9,3,156,0.1,0.7,-,-,-,0.3,-,-,-,100,Processed,Vegetables
Gedi wrap wax,84.8,79,2.3,5.2,5.8,2.5,1.9,170,70,0.9,170,50,0.2,0.8,-,-,-,0.2,0.1,-,18,100,Processed,Vegetables
Olah-olah,83.9,9,2.1,6,7.1,4.4,0.9,26,3,1.2,289,266,0.3,0.6,-,36,-,0.2,0.1,0.4,-,100,Processed,Vegetables
Paku hinela wulelenggapaya,83.4,77,3.5,4.6,5.4,3.6,3.1,63,85,-,469,37,0.3,0.7,-,55,-,0.8,0.1,0.2,4,100,Processed,Vegetables
Swamp Cabbage Pelecing,83.8,75,2.5,2.8,10,5.4,0.9,36,3,2.1,408,381,0.1,0.4,-,870,-,0.7,-,0.2,12,100,Processed,Vegetables
Purundawa,91.8,25,1.5,0.5,3.6,1.7,2.6,147,39,-,239,201,0.1,0.6,-,55,-,0.1,0.1,11.6,2,100,Processed,Vegetables
Rujak cingur,70.1,153,11.3,8.4,8,1.4,1.4,256,143,4.4,-,-,-,-,18,-,"2,880",0.16,-,-,2,100,Processed,Vegetables
Sour soup,93.2,29,0.7,0.6,5,0.6,0.8,40,61,3.1,-,-,-,-,14,-,"2,075",0.1,-,-,0.3,100,Processed,Vegetables
Papaya flower soup,83.4,49,1.7,0.3,9.8,2.7,2.1,220,220,1.3,90,350,0.1,0.1,-,372,-,-,0.1,-,-,100,Processed,Vegetables
Rake soup,70.8,178,2.6,13.9,10.6,8.4,2.1,30,130,0.9,20,120,0.1,0.3,-,-,-,0.2,0.1,-,9,100,Processed,Vegetables
Kohu-kohu soup,72.8,133,7.3,6.6,11.2,1.2,2.1,40,120,0.2,20,50,0.1,0.3,-,944,-,0.2,0.2,-,9,100,Processed,Vegetables
Terubuk candle soup,90.4,36,2.7,0.7,4.8,1.4,1.4,10,90,0.1,30,44,0.2,1,-,-,-,0.3,0.2,-,18,100,Processed,Vegetables
Ndusuk soup,87.5,49,3.1,2.5,3.6,-,3.1,11,6,0.5,"1,011",88,-,0.2,-,-,-,0.2,0.1,-,15,100,Processed,Vegetables
Soup,92.7,27,1.3,2,1,0.3,2.7,168,57,1.8,-,-,-,-,20,-,"2,569",0.1,-,-,0.2,100,Processed,Vegetables
Coconut umbut soup,85.5,67,5.2,2.9,5.1,1.4,1.3,48,81,3.2,313,108,0.2,1.1,-,21,-,0.2,-,-,5,100,Processed,Vegetables
Rattan umbut soup,87.6,57,5.4,2.6,3.1,1.6,1.3,184,135,1.2,256,81,0.2,0.9,-,18,-,0.2,-,-,6,100,Processed,Vegetables
Shabu-shabu,87.1,88,3.2,8,0.8,0.9,0.9,217,48,2.9,514,-,-,-,82,-,"2,000",0.2,-,-,-,100,Processed,Vegetables
Jengkol stew,52.7,212,6,10,29.1,-,2.2,77,99,1,-,-,-,-,-,-,81,0.14,-,-,4,100,Processed,Vegetables
Tinira ninahu nggaluku,91.8,33,1.2,1.3,4.1,3.1,1.5,35,35,-,161,119,0.2,0.7,-,6,-,0.3,-,3.5,10,100,Processed,Vegetables
Sauteed coconut milk spinach,91.2,48,1.4,4.2,2.6,0.5,0.6,129,27,0.8,-,-,-,-,-,-,"2,988",0.01,-,-,22,100,Processed,Vegetables
Balamak Pumpkin,89.4,45,0.8,0.9,8.1,7.9,1,25,25,0.5,61,15,-,0.2,-,"1,241",-,0.2,-,0.1,2,100,Processed,Vegetables
Woku sweet potato,73,143,3.1,7.8,15,7,1.1,195,91,2.8,353,256,0.3,1,-,"1,519",-,0.1,-,-,15,100,Processed,Vegetables
"Tonjong root, fresh",86.7,45,1.1,0.4,10.8,1.2,1,72,125,1.3,96,"1,147.10",0.02,0.2,-,83,90,0.02,0.03,1.9,2,100,Single,Vegetables
"Ale, bean sprouts, fresh",90.6,37,4.4,0.5,3.8,1.7,0.7,50,248,2,2,105,0.16,0.4,-,-,35,0.02,0.09,0.6,46,90,Single,Vegetables
"Andaliman, fresh",74.2,99,4.6,1,18,8.5,2.2,383,107,2.9,-,-,-,-,-,-,"6,300",3,-,-,15,100,Single,Vegetables
"Endive, fresh",91.8,226,1.6,0.2,5.3,4.1,1.1,33,66,1,29,414.6,0.13,1,-,"1,717",-,0.14,0.09,0.5,10,80,Single,Vegetables
"Welsh onion, fresh",92.5,27,2,0.2,4.2,3.8,1.1,19,20,0.5,37,340,0.2,0.3,-,"1,080",-,0.2,0.1,0.3,42,100,Single,Vegetables
"Baligo (Wax gourd), fresh",96.1,15,0.4,0.2,3,0.4,0.3,19,19,0.4,2,131.1,0.02,0.6,-,-,-,0.04,0.02,0.3,13,69,Single,Vegetables
"Onion, fresh",87.5,43,1.4,0.2,10.3,2,0.6,32,44,0.5,12,9.6,0.1,0.3,-,788,50,0.03,0.21,0.4,9,94,Single,Vegetables
"Spinach, fresh",94.5,16,0.9,0.4,2.9,0.7,1.3,166,76,3.5,16,456.4,0.13,0.4,-,"2,699","2,293",0.04,0.1,1,41,71,Single,Vegetables
"Spinach, red, fresh",88.5,41,2.2,0.8,6.3,2.2,2.2,520,80,7,20,60,0.2,0.8,-,"7,325",-,0.2,0.1,0.1,62,71,Single,Vegetables
"Beet, fresh",87.6,41,1.6,0.1,9.6,2.6,1.1,27,43,1,29,404.9,0.2,0.7,-,-,20,0.02,0.05,0.3,10,75,Single,Vegetables
Moringa fruit,89.5,38,1.5,0.2,7.5,3.2,1.3,30,54,-,48,216,-,0.2,-,31,-,0.1,0.1,4.1,25,65,Single,Vegetables
Red fruit,81.2,87,2.6,2.7,13.1,4,0.4,30,1,1.1,110,140,0.1,0.3,-,-,-,1.5,0.1,0.2,15,100,Single,Vegetables
"Green bean, fresh",89.6,34,2.4,0.3,7.2,1.9,0.5,101,42,0.7,8,250,0.07,0.3,-,772,550,0.05,0.4,2.8,11,90,Single,Vegetables
"Papaya flowers, fresh",87.3,45,2.6,0.3,8.1,1.6,1.7,290,113,4.2,2,478.3,0.08,0.8,-,"2,792",5,0.01,0.28,1,23,100,Single,Vegetables
"Hummingbird tree (Turi flowers), fresh",90.4,42,2,1.1,6.1,3.3,0.4,28,23,0.8,97,97.4,0.1,0.6,-,"1,000",0.1,0.5,0.02,0.4,1,96,Single,Vegetables
"Caisin, fresh",93.6,20,1.7,0.4,3.4,1.2,0.9,123,40,1.9,18,358.2,0.05,1.4,-,"1,675","4,188",0.04,0.19,0.6,3,100,Single,Vegetables
"Leaves awake, fresh",92.5,27,1.3,0.6,4,1,1.6,279,40,13.6,4,144,-,-,-,"1,489","13,288",0.16,0.1,-,5,66,Single,Vegetables
"Shallot, leaf, fresh",89.1,41,2,0.3,7.8,2.1,0.8,60,40,2.3,30,90,0.1,0.3,-,218,-,0.1,0.1,0.2,11,67,Single,Vegetables
"Bebuas leaves, fresh",87.9,41,2.7,1,7.3,2.1,1.1,29,245,1.5,-,-,-,-,-,-,"3,099",0.01,-,-,3,49,Single,Vegetables
"Belem leaves, fresh",84.6,50,4.4,1.4,7.8,1.9,1.8,698,151,7.5,-,-,-,-,-,-,"13,072",0.05,-,-,21,81,Single,Vegetables
"Bluntas leaves, fresh",86,44,1.8,0.5,9.4,-,2.3,256,49,5.6,-,-,-,-,-,-,"3,980",0.02,-,-,30,65,Single,Vegetables
"Gandaria leaves, fresh",81,63,3.1,0.3,14,2.1,1.6,40,45,4.7,3,127.7,-,-,-,503,600,0.04,0.04,0.2,61,65,Single,Vegetables
"Aibika, sunset hibiscus, big, fresh",84,58,2.9,0.7,10,3.3,2.4,440,100,1.9,30,40,0.2,2.1,-,596,-,0.4,0.5,2.8,11,65,Single,Vegetables
"Aibika, sunset hibiscus, small, fresh",83.7,61,3.2,0.7,10.4,3.4,2,420,70,1.7,20,50,0.1,1.4,-,607,-,0.4,0.3,2.9,11,65,Single,Vegetables
"Purslane, leaf, fresh",90.3,30,1.3,0.7,5.8,1.3,1.9,350,210,11.9,5,333.3,0.31,1.2,-,"4,701","1,954",0.01,0.14,0.7,1,52,Single,Vegetables
"Balinese gunda leaves, fresh",86.4,50,4.6,0.9,7,1.4,1.1,167,62,0.5,-,-,-,-,-,-,"6,571",0.05,-,-,20,49,Single,Vegetables
"Sunda leaves attack, fresh",84.6,62,4.2,0.9,9.2,1.3,1.1,171,64,0.6,-,-,-,-,-,-,"7,347",0.02,-,-,20,47,Single,Vegetables
"Cashew Leaf, young, fresh",78,78,4.6,0.5,16.2,3,0.7,33,64,8.9,14,670.5,-,-,-,"4,484","2,689",0.02,1.12,1.1,65,65,Single,Vegetables
"Fresh leaves, fresh",88.9,34,3.8,0.5,5.3,1.4,1.5,21,245,1,-,-,-,-,-,-,"4,357",0.03,-,-,3,47,Single,Vegetables
"Jawaw leaves seluang, fresh",77.2,93,5,1.3,15.3,3.9,1.2,146,103,5.3,2,434,0.5,1.5,-,-,-,0.1,0.7,-,9,-,Single,Vegetables
"Sow thistle (Jonghe leaves), fresh",91.4,27,2.1,0.7,4.4,2,1.4,253,192,9.5,-,-,-,-,-,-,"5,057",0.01,-,-,1,45,Single,Vegetables
"Ma bean leaves, fresh",89.1,36,2.9,0.6,6.8,1.8,0.6,64,220,2.2,7,485.3,0.2,0.3,-,"2,893","4,377",0.04,0.18,1.2,4,33,Single,Vegetables
"Yard-long bean, leaf, fresh",89.7,30,3.1,0.3,5.8,1.7,1.1,200,66,4.5,7,458.6,0.2,0.3,-,"2,734","4,592",0.33,0.2,1.1,30,65,Single,Vegetables
"Ceara rubber tree, fresh",80.3,92,4,3.6,10.9,5.8,1.2,140,70,1.6,70,90,0.3,1.1,-,"4,046",-,0.1,0.2,0.1,74,87,Single,Vegetables
"Star goose berry, leaf, fresh",81,59,6.4,1,9.9,1.5,1.7,233,98,3.5,21,478.8,0.3,1.3,-,"9,152","10,020",-,0.31,2.3,164,40,Single,Vegetables
"Winged bean, leaf, fresh",85,52,5,0.5,8.5,-,1,134,81,6.2,6,114,0.3,0.8,-,"3,981","5,240",0.28,0.4,2.2,29,70,Single,Vegetables
"Ambarella, leaf, fresh",81,59,3.5,0.3,13.4,10.7,1.8,540,82,6.2,12,579,-,-,-,"1,624","2,900",0.06,0.2,1.5,29,65,Single,Vegetables
"Moringa leaves (Drumstick tree, leaf), fresh",75.5,92,5.1,1.6,14.3,8.2,3.5,"1,077",76,6,61,298,0.1,0.6,-,"3,266",-,0.3,0.1,4.2,22,65,Single,Vegetables
"Kemang, leaf, fresh",85,43,5.5,0.3,7.5,8.4,1.7,35,106,1,10,457.1,-,-,-,"1,282","1,017",0.06,0.1,1.2,30,65,Single,Vegetables
"Kenikir leaves, fresh",87.6,45,3.7,0.5,6.6,5.8,1.7,328,65,2.7,431,431,0.1,0.6,-,"30,000",12,0.5,0.3,4.5,0.2,36,Single,Vegetables
"Kesum leaves, fresh",84.8,48,4.5,0.8,9.1,1.6,0.8,125,142,2.6,11,174.7,0.4,1.2,-,"4,216","8,715",0.01,0.1,1.6,4,53,Single,Vegetables
"Indian mustard, fresh",93.1,22,2.1,0.5,3.6,0.9,0.7,200,92,3.2,19,386.2,0.1,0.2,-,"1,806","2,177",0.03,0.2,0.6,3,87,Single,Vegetables
"Koro leaves, fresh",91,23,3,0.3,3.7,-,2,134,81,6.2,4,68.4,0.2,0.5,-,"2,386","5,240",0.28,0.2,1.3,29,65,Single,Vegetables
"Cabbage leaves, fresh",86.2,51,2.5,1.1,8,3.4,2.2,100,50,3.4,50,100,0.9,0.6,-,"3,612",-,0.4,0.1,0.2,16,75,Single,Vegetables
"Hyacinthbean, leaf, fresh",95.2,14,1.3,0.3,2.3,0.9,0.9,90,59,2.7,2,36.5,0.1,0.3,-,"1,274","2,961",0.01,-,0.5,3,78,Single,Vegetables
"Chayote, leaf, fresh",89.7,34,4,0.4,4.7,3.5,1.2,58,70,2.5,16,630.7,0.2,0.3,-,"4,773","2,025",0.08,0.4,1.7,16,100,Single,Vegetables
